Source;Target;Count
Andres;Mart;16
Andres;Madis;404
Andres;Krõõt;607
Krõõt;Madis;12
Krõõt;Pearu;163
Andres;Pearu;2382
Madis;Pearu;170
Pearu;Tiit;158
Andres;Tiit;320
Andres;Eedi;121
Andres;Jaska;45
Jaska;Pearu;52
Murakas;Pearu;12
Pearu;Villem;59
Joosep;Pearu;165
Joosep;Karla;69
Karla;Pearu;42
Kaarel;Miina;11
Kaarel;Pearu;22
Priidu;Tiit;10
Kustas;Pearu;51
Kaarel;Kustas;24
Andres;Kaarel;72
Kaarel;Krõõt;19
Andres;Kustas;34
Krõõt;Kustas;10
Kaarel;Mai;104
Kaarel;Maie;107
Mai;Maie;57
Andres;Juss;795
Juss;Mai;17
Juss;Kaarel;22
Juss;Krõõt;111
Issand;Juss;10
Andres;Issand;51
Juss;Pearu;147
Juss;Madis;113
Aadu;Andres;79
Aadu;Pearu;34
Aadu;Juss;10
Aadu;Krõõt;13
Juss;Mari;1704
Krõõt;Mari;378
Andres;Mari;2384
Madis;Mari;55
Mari;Pearu;300
Pearu;Priidu;10
Andres;Priidu;11
Anna;Juss;16
Anna;Mari;17
Mart;Pearu;47
Liisi;Pearu;146
Krõõt;Liisi;72
Mart;Matu;18
Matu;Pearu;391
Mari;Matu;13
Juss;Matu;12
Andres;Matu;163
Matu;Valtu;10
Pearu;Valtu;16
Andres;Jaagup;139
Jaagup;Pearu;117
Andres;Juku;25
Juku;Mari;51
Issand;Mari;31
Andres;Ants;155
Ants;Mari;52
Mari;Tiit;92
Issand;Pearu;21
Ants;Juss;13
Juss;Tiit;25
Aadu;Mari;31
Andres;Anna;28
Anna;Tiit;10
Anna;Pearu;12
Joosep;Mari;108
Andres;Joosep;218
Lullu;Mari;76
Andres;Lullu;132
Lullu;Pearu;36
Annu;Mari;10
Innu;Mari;15
Indrek;Mari;166
Indrek;Tiit;103
Andres;Indrek;544
Indrek;Pearu;43
Indrek;Juss;18
Liisi;Mari;401
Maret;Mari;240
Kata;Mari;45
Andres;Liisi;454
Andres;Maret;200
Andres;Kata;24
Krõõt;Maret;39
Indrek;Krõõt;17
Juku;Krõõt;11
Liisi;Maret;504
Indrek;Liisi;133
Juss;Liisi;20
Juku;Liisi;16
Kata;Liisi;15
Indrek;Maret;134
Juku;Maret;14
Kata;Maret;13
Anna;Indrek;10
Juku;Juss;19
Juss;Kata;12
Juku;Kata;19
Anni;Liisi;15
Issand;Liisi;11
Anni;Maret;15
Jaska;Tiit;11
Maret;Pearu;46
Joosep;Liisi;625
Joosep;Maret;142
Andres;Karla;40
Karla;Liisi;94
Karla;Maret;94
Indrek;Joosep;32
Madli;Maret;12
Liisi;Madli;12
Madli;Mari;12
Anni;Mari;18
Karla;Mari;25
Joosep;Priidu;10
Liisi;Priidu;11
Liisi;Madis;45
Madis;Maret;11
Joosep;Madis;27
Karla;Madis;22
Andres;Anton;16
Anton;Tiit;13
Linda;Tiit;10
Anton;Pearu;14
Jakobson;Tiit;40
Pärt;Tiit;13
Märt;Tiit;13
Kustas;Priidu;23
Andres;Jehoova;10
Andres;Juhan;13
Jaska;Ossu;12
Andres;Anni;23
Anni;Juss;11
Ants;Liisi;27
Ants;Maret;17
Ants;Indrek;231
Andres;Leena;10
Jaagup;Mari;74
Leena;Mari;12
Jaagup;Leena;98
Jaagup;Roosi;178
Leena;Roosi;58
Mari;Roosi;28
Andres;Roosi;17
Jaagup;Miina;152
Mari;Miina;64
Andres;Miina;52
Leena;Miina;12
Miina;Roosi;28
Liisi;Miina;15
Jaagup;Liisi;12
Maret;Miina;24
Jaagup;Maret;18
Indrek;Miina;11
Madis;Matu;32
Indrek;Matu;41
Andres;Pollo;31
Joosep;Pollo;18
Liisi;Pollo;19
Indrek;Pollo;18
Indrek;Muska;175
Joosep;Muska;16
Liisi;Muska;12
Ants;Muska;35
Ants;Matu;12
Ants;Riia;88
Ants;Milli;39
Indrek;Riia;456
Indrek;Milli;539
Andres;Riia;22
Milli;Riia;149
Muska;Riia;135
Milli;Muska;58
Andres;Muska;18
Andres;Tiiu;37
Andres;Kadri;29
Liisi;Tiiu;14
Ants;Joosep;12
Ants;Pearu;46
Joosep;Krõõt;17
Liine;Liisi;28
Liine;Maret;10
Andres;Liine;44
Indrek;Liine;17
Ants;Liine;58
Liine;Mari;22
Mari;Tiiu;24
Kadri;Mari;15
Joosep;Liine;15
Mari;Valtu;12
Muska;Valtu;13
Andres;Valtu;20
Emmanuel;Mari;12
Andres;Emmanuel;20
Andres;Juljus;18
Juljus;Pearu;11
Andres;Hiiob;32
Indrek;Priidu;19
Karla;Kustas;12
Kustas;Maret;15
Maret;Sass;27
Mari;Sass;15
Andres;Sass;21
Indrek;Juljus;35
Indrek;Kustas;12
Eedi;Issand;12
Ants;Kustas;14
Indrek;Maie;125
Juhan;Maie;88
Indrek;Juhan;30
